trip_id,route_id,direction_id
6429328-15_A_50_1507_14:30-SETP2025-15-Semaine-11,15,
6403294-36_A_49_3604_15:09-SETP2025-36-Semaine-33,36,0
6411449-70_A_50_7002_16:30-SETP2025-70-Semaine-35,70,0
6252445-11_R_97_1104_14:37-SETP2025-11-Semaine-37,11,1
6327226-17_R_99_1701_14:54-SETP2025-17-L-Ma-J-V-35,17,1
6428100-98_A_50_9805_14:27-SETP2025-98-Semaine-08,98,0
4542698-44_A_50_4401_15:25-RESEAU2023-44-Semaine-89,44,0
6410635-64_R_99_6401_14:30-SETP2025-64-Semaine-37,64,
6102515-63_A_50_6303_16:10-PROJET2025-63-Semaine-72-1101100,63,0
6416357-51_R_99_5101_15:50-PROJET2025-51-Semaine-10,51,1
5422157-75_R_97_7501_16:30-PROJET2024-75-Semaine-86-1101100,75,1
6472687-50_A_50_5003_14:48-PROJET2025-50-Semaine-08,50,0
6253180-14_R_99_1404_14:36-SETP2025-14-L-Ma-J-V-38,14,
6368823-09_A_49_0906_15:30-PROJET2025-09-Semaine-35,09,0
6409619-57_R_99_5703_14:40-SETP2025-57-Semaine-06,57,
6414306-07_R_97_0709_15:23-SETP2025-07-L-Ma-J-V-41,07,1
4515183-80_A_49_8001_15:11-RESEAU2023-80-Semaine-94,80,0
6446553-05_A_99_0505_15:00-SETP2025-05-L-Ma-J-V-38,05,0
6365954-20_R_99_2005_15:09-SETP2025-20-Semaine-42,20,1
5838885-22_R_95_2207_14:40-PROJET2025-22-Semaine-20,22,
6252498-11_A_50_1105_16:00-SETP2025-11-Semaine-37,11,0
6424103-16_A_50_1602_15:09-SETP2025-16-Semaine-35,16,0
6414311-07_R_97_0702_16:05-SETP2025-07-L-Ma-J-V-41,07,1
6261676-73_A_1_7301_16:05-PROJET2025-73-Semaine-16,73,0
4669804-62_R_98_6204_15:40-RESEAU2023-62-Semaine-17,62,1
6102465-63_R_98_6305_15:40-PROJET2025-63-Semaine-72-1101100,63,1
6429240-15_R_99_1508_16:04-SETP2025-15-Semaine-11,15,1
6452811-T1_A_12_VT106_14:27-SETP2025-L1-Semaine-04,L1,0
6416472-33_R_99_3301_14:12-SETP2025-33-L-Ma-J-V-36,33,
6462559-31_A_47_3101_15:52-PROJET2025-31-Semaine-08,31,0
6424140-16_R_97_1602_14:43-SETP2025-16-Semaine-35,16,
6414770-34_A_25_3401_15:51-PROJET2025-34-L-Ma-J-V-20,34,0
6403263-36_R_99_3603_16:12-SETP2025-36-Semaine-33,36,1
6446534-05_R_50_0503_15:09-SETP2025-05-L-Ma-J-V-38,05,1
6170427-L2_A_49__14:35-JANV2025-L2-Semaine-09,L2,0
6365949-20_R_99_2001_14:03-SETP2025-20-Semaine-42,20,
4759155-47_A_50_4701_18:15-PROJET2023-47-Semaine-10,47,0
6424102-16_A_50_1604_14:42-SETP2025-16-Semaine-35,16,0
5408562-82_R_99_8203_15:50-PROJET2024-82-Semaine-93,82,1
6368805-09_R_98_0904_16:10-PROJET2025-09-Semaine-35,09,1
6327143-17_A_50_1707_16:01-SETP2025-17-L-Ma-J-V-35,17,0
6252451-11_R_98_1104_16:13-SETP2025-11-Semaine-37,11,1
6410634-64_A_50_6402_14:15-SETP2025-64-Semaine-37,64,
5408561-82_R_99_8202_14:20-PROJET2024-82-Semaine-93,82,1
6252528-11_R_98_1102_15:37-SETP2025-11-Semaine-37,11,1
6403276-36_A_49_3604_16:12-SETP2025-36-Semaine-33,36,0
6105168-76_A_48_7602_14:50-PROJET2025-76-Semaine-89,76,
5838472-52_A_6_5201_16:00-PROJET2025-52-Semaine-20,52,0
6414290-07_R_97_0706_14:44-SETP2025-07-L-Ma-J-V-41,07,
6170415-L2_R_98__14:42-JANV2025-L2-Semaine-09,L2,1
5340970-72_A_50_7201_15:20-PROJET2024-72-Semaine-74,72,0
6412112-37_R_99_3702_17:16-SETP2025-37-Semaine-37,37,1
6018943-55_A_48_5502_16:49-PROJET2025-55-Semaine-08,55,0
6446525-05_A_98_0504_14:19-SETP2025-05-L-Ma-J-V-38,05,
6428321-60_R_99_6001_14:40-PROJET2025-60-Semaine-08,chouette:Line:4a8dc505-72e7-4b72-b186-a5b46e94fb82:LOC,
6327184-17_R_99_1704_16:01-SETP2025-17-L-Ma-J-V-35,17,1
6402549-32_R_97_3202_15:32-SETP2025-32-Semaine-34,32,1
6452984-T1_A_12_VT122_14:02-SETP2025-L1-Semaine-04,L1,0
6355791-18_R_99_1801_13:42-SETP2025-18-Semaine-39,18,
6409625-57_A_50_5708_16:06-SETP2025-57-Semaine-06,57,0
5422159-75_R_97_7501_18:59-PROJET2024-75-Semaine-86-1101100,75,1
6170684-L3_R_97__14:01-JANV2025-L3-Semaine-09,L3,1
6429301-15_A_50_1505_15:42-SETP2025-15-Semaine-11,15,0
6416473-33_R_99_3303_14:30-SETP2025-33-L-Ma-J-V-36,33,
6414305-07_R_97_0703_15:16-SETP2025-07-L-Ma-J-V-41,07,1
6077793-58_R_99_5801_15:39-PROJET2025-58-Semaine-06,58,1
6102499-63_A_48_6303_14:10-PROJET2025-63-Semaine-72-1101100,63,
6327208-17_R_99_1705_15:45-SETP2025-17-L-Ma-J-V-35,17,1
6414785-34_R_24_3401_14:25-PROJET2025-34-L-Ma-J-V-20,34,
6402533-32_R_97_3201_14:46-SETP2025-32-Semaine-34,32,1
6252486-11_A_50_1101_14:00-SETP2025-11-Semaine-37,11,
6170367-L2_A_49__14:19-JANV2025-L2-Semaine-09,L2,0
6365953-20_R_99_2003_14:17-SETP2025-20-Semaine-42,20,
6105152-76_R_97_7602_17:30-PROJET2025-76-Semaine-89,76,1
6261665-73_R_95_7301_16:58-PROJET2025-73-Semaine-16,73,1
4759154-47_A_50_4702_17:15-PROJET2023-47-Semaine-10,47,0
6446549-05_A_98_0507_14:51-SETP2025-05-L-Ma-J-V-38,05,0
5422169-75_A_49_7501_14:35-PROJET2024-75-Semaine-86-1101100,75,
6218563-84_R_95_8403_15:35-PROJET2025-84-Semaine-04,84,1
6462531-31_A_47_3102_14:37-PROJET2025-31-Semaine-08,31,
6252493-11_A_49_1103_14:58-SETP2025-11-Semaine-37,11,0
6257330-59_A_45_5902_16:26-PROJET2025-59-Semaine-26,59,0
6412129-37_A_50_3701_14:54-SETP2025-37-Semaine-37,37,0
6102505-63_A_48_6305_16:30-PROJET2025-63-Semaine-72-1101100,63,0
6416035-21_R_99_2101_14:58-SETP2025-21-Semaine-40,21,1
6252448-11_R_97_1105_15:13-SETP2025-11-Semaine-37,11,1
6452812-T1_A_12_VT108_14:35-SETP2025-L1-Semaine-04,L1,0
4669810-62_A_48_6203_16:00-RESEAU2023-62-Semaine-17,62,0
6446570-05_A_98_0507_16:03-SETP2025-05-L-Ma-J-V-38,05,0
6140114-41_A_5_4101_16:06-PROJET2025-41-Semaine-05,41,0
6446520-05_R_50_0501_14:16-SETP2025-05-L-Ma-J-V-38,05,
6409620-57_R_99_5708_14:55-SETP2025-57-Semaine-06,57,1
6416316-51_R_98_5103_15:08-PROJET2025-51-Semaine-10,51,1
5408574-82_R_99_8201_15:05-PROJET2024-82-Semaine-93,82,1
6420112-85_A_48_8501_17:10-PROJET2025-85-Semaine-06-1101100,85,0
6368790-09_R_98_0907_16:40-PROJET2025-09-Semaine-35,09,1
6428440-61_R_99_6101_14:20-PROJET2025-61-Semaine-24,61,
6257283-59_A_45_5901_15:14-PROJET2025-59-Semaine-26,59,0
6412272-71_A_50_7101_13:00-PROJET2025-71-Semaine-80,71,0
5925344-54_R_98_5403_16:51-PROJET2025-54-Semaine-17,54,1
5673221-NVN1_A_48_NVN102_15:45-PROJET2024-NVence1-Semaine-15,NVN1,0
6452700-T1_R_57_VT119_14:34-SETP2025-L1-Semaine-04,L1,1
6414293-07_A_49_0707_14:46-SETP2025-07-L-Ma-J-V-41,07,0
6420741-81_A_49_8101_14:25-SETP2025-81-Semaine-40,81,0
6411421-70_R_99_7002_16:00-SETP2025-70-Semaine-35,70,1
6369768-42_A_6_4201_16:24-PROJET2025-42-Semaine-83,42,0
